time,spot_x_axis_x7,spot_y_axis_x7,spot_z_axis_x7,spot_x_axis_base,spot_y_axis_base,spot_z_axis_base
0.711,0.0,-0.01171875,-0.01171875,0.0234375,0.03515625,0.01171875
0.718,-0.01171875,0.01171875,-0.01171875,0.0,0.01171875,-0.03515625
0.726,-0.01171875,0.01171875,-0.01171875,0.0,0.01171875,-0.03515625
0.734,0.0,0.01171875,-0.01171875,0.0,0.01171875,-0.03515625
0.742,0.0,-0.0234375,-0.0234375,0.0,0.0234375,0.01171875
0.75,0.0,-0.0234375,-0.0234375,0.0,0.0234375,0.01171875
0.758,0.01171875,-0.01171875,0.0234375,0.01171875,0.01171875,-0.0
0.766,0.01171875,-0.01171875,0.0234375,0.01171875,0.01171875,-0.0
0.774,0.01171875,-0.01171875,0.0234375,-0.0234375,0.01171875,-0.0
0.782,0.0,-0.01171875,-0.0234375,-0.0234375,-0.01171875,-0.01171875
0.79,0.0,-0.01171875,-0.0234375,-0.0234375,-0.01171875,-0.01171875
0.798,-0.01171875,0.0,-0.01171875,0.01171875,0.0,-0.03515625
0.806,-0.01171875,0.0,-0.01171875,0.01171875,0.0,-0.03515625
0.813,-0.01171875,0.0,-0.01171875,-0.01171875,0.0,-0.03515625
0.821,0.0,-0.03515625,-0.01171875,-0.01171875,0.0234375,0.01171875
0.829,0.0,-0.03515625,-0.01171875,-0.01171875,0.0234375,0.01171875
0.837,0.01171875,0.0,-0.0,-0.01171875,0.0234375,-0.0
0.845,0.01171875,0.0,-0.0,-0.01171875,0.0234375,-0.0
0.853,0.01171875,0.0,-0.0,-0.0234375,0.0234375,-0.0
0.861,-0.0234375,-0.046875,-0.0,-0.0234375,0.0234375,0.01171875
0.869,-0.0234375,-0.046875,-0.0,-0.0234375,0.0234375,0.01171875
0.877,-0.01171875,0.0,-0.0,-0.01171875,0.0234375,-0.0
0.885,-0.01171875,0.0,-0.0,-0.01171875,0.0234375,-0.0
0.893,-0.01171875,0.0,-0.0,-0.046875,0.0,-0.0
0.9,0.01171875,0.0,-0.0234375,-0.046875,0.0,0.01171875
0.908,0.01171875,0.0,-0.0234375,-0.046875,0.0,0.01171875
0.916,0.0,-0.0234375,0.1640625,-0.01171875,0.01171875,0.01171875
0.924,0.0,-0.0234375,0.01171875,-0.01171875,0.01171875,0.01171875
0.932,0.0,-0.0234375,0.01171875,0.01171875,0.0,0.01171875
0.94,0.0,-0.0234375,-0.0234375,0.01171875,0.0,0.01171875
0.948,0.0,-0.0234375,-0.0234375,0.01171875,0.0,0.01171875
0.956,0.0,-0.0234375,-0.0234375,-0.0234375,0.0,0.01171875
0.964,0.0,-0.01171875,-0.01171875,-0.0234375,0.0,0.01171875
0.972,0.0,-0.01171875,-0.01171875,-0.03515625,0.0234375,0.046875
0.98,0.01171875,0.0,-0.0234375,-0.03515625,0.0234375,0.046875
0.988,0.01171875,0.0,-0.0234375,-0.03515625,0.0234375,0.046875
0.996,-0.01171875,0.0,-0.0234375,-0.046875,0.01171875,-0.03515625
1.004,-0.01171875,0.0,-0.0234375,-0.046875,0.01171875,-0.03515625
1.011,-0.01171875,0.0,-0.0234375,-0.01171875,0.01171875,-0.03515625
1.019,-0.01171875,-0.01171875,-0.0234375,-0.01171875,0.01171875,-0.03515625
1.027,-0.01171875,-0.01171875,-0.0234375,-0.01171875,0.01171875,-0.03515625
1.035,0.0,-0.01171875,-0.0234375,0.0,0.0234375,-0.03515625
1.043,0.0,0.0,-0.0234375,0.0,0.0234375,-0.03515625
1.051,0.0,0.0,-0.0234375,-0.03515625,0.0234375,-0.0234375
1.059,-0.0234375,0.0,-0.0,-0.03515625,0.0234375,-0.0234375
1.067,-0.0234375,0.0,-0.0,0.0,0.0234375,-0.0234375
1.075,0.01171875,0.0,-0.0,0.0,0.01171875,-0.01171875
1.083,0.01171875,-0.01171875,-0.03515625,0.0,0.01171875,-0.01171875
1.091,0.01171875,-0.01171875,-0.03515625,-0.01171875,0.01171875,0.01171875
1.099,-0.01171875,0.01171875,-0.01171875,-0.01171875,0.01171875,0.01171875
1.107,-0.01171875,0.01171875,-0.01171875,-0.0234375,0.01171875,0.01171875
1.116,0.01171875,0.01171875,-0.01171875,-0.0234375,0.03515625,-0.0
1.123,0.01171875,-0.0234375,-0.0234375,-0.0234375,0.03515625,-0.0
1.131,0.01171875,-0.0234375,-0.0234375,-0.0234375,0.0,0.01171875
1.139,-0.01171875,-0.01171875,-0.0,-0.0234375,0.0,0.01171875
1.147,-0.01171875,-0.01171875,-0.0,-0.01171875,0.0,-0.17578125
1.155,-0.01171875,-0.01171875,-0.0,-0.01171875,0.0,-0.03515625
1.163,-0.01171875,0.0,-0.0,-0.01171875,0.0,-0.03515625
1.171,-0.01171875,0.0,-0.0,0.01171875,0.0234375,-0.03515625
1.179,-0.01171875,-0.0234375,-0.0,0.01171875,0.0234375,-0.03515625
1.187,-0.01171875,-0.0234375,-0.0,-0.0234375,0.0,-0.0
1.195,-0.0234375,-0.0234375,-0.0,-0.0234375,0.0,-0.0
1.203,-0.0234375,-0.0234375,-0.0234375,-0.0234375,0.0,-0.0
1.211,-0.0234375,-0.0234375,-0.0234375,0.0,0.03515625,-0.0
1.219,0.0234375,-0.0234375,-0.01171875,0.0,0.03515625,-0.0
1.226,0.0234375,-0.0234375,-0.01171875,-0.01171875,0.0234375,-0.0
1.234,0.0234375,-0.0234375,-0.01171875,-0.01171875,0.0234375,-0.0
1.242,0.0,0.01171875,-0.0234375,-0.01171875,0.0234375,-0.0
1.25,0.0,0.01171875,-0.0234375,-0.0234375,0.0234375,0.01171875
1.258,-0.01171875,0.01171875,-0.0234375,-0.0234375,0.0234375,0.01171875
1.266,-0.01171875,0.01171875,-0.0234375,0.0,0.0234375,0.03515625
1.274,-0.01171875,0.01171875,-0.0234375,0.0,0.0234375,0.03515625
1.282,0.0234375,-0.01171875,-0.0234375,0.0,0.0234375,0.03515625
1.29,0.0234375,-0.01171875,-0.0234375,-0.01171875,-0.01171875,0.01171875
1.298,0.0,-0.01171875,-0.01171875,-0.01171875,-0.01171875,0.01171875
1.306,0.0,-0.01171875,-0.01171875,0.0,0.0234375,0.0234375
1.313,0.0,-0.01171875,-0.01171875,0.0,0.0234375,0.0234375
1.321,0.0,-0.01171875,-0.0234375,-0.0234375,0.0234375,0.0234375
1.329,0.0,-0.01171875,-0.0234375,-0.0234375,0.0234375,-0.03515625
1.337,0.0,-0.0234375,0.1640625,-0.0234375,0.0234375,-0.03515625
1.345,0.0,-0.0234375,0.0234375,0.0,0.0234375,-0.0
1.353,0.0,-0.0234375,0.0234375,0.0,0.0234375,-0.0
1.361,-0.0234375,-0.03515625,-0.01171875,0.0,0.0234375,-0.0
1.369,-0.0234375,-0.03515625,-0.01171875,0.0,0.0234375,-0.0
1.377,-0.01171875,0.0,-0.01171875,0.0,0.0234375,-0.0
1.385,-0.01171875,0.0,-0.01171875,0.0,0.0234375,-0.0
1.393,-0.01171875,0.0,-0.01171875,0.0,0.0234375,-0.0
1.401,0.01171875,-0.0234375,0.0234375,-0.01171875,0.0234375,-0.0
1.409,0.01171875,-0.0234375,0.0234375,-0.01171875,0.0234375,-0.0
1.417,-0.01171875,-0.0234375,0.0234375,-0.01171875,0.0234375,-0.0
1.424,-0.01171875,0.0,-0.01171875,-0.046875,0.0234375,-0.0
1.433,-0.01171875,0.0,-0.01171875,-0.046875,0.0234375,-0.0
1.44,-0.0234375,-0.01171875,-0.03515625,-0.03515625,0.05859375,-0.1875
1.448,-0.0234375,-0.01171875,-0.03515625,-0.03515625,0.05859375,-0.03515625
1.456,0.01171875,-0.01171875,-0.03515625,-0.03515625,0.05859375,-0.03515625
1.464,0.01171875,0.01171875,-0.0,0.0234375,0.046875,-0.03515625
1.472,0.01171875,0.01171875,-0.0,0.0234375,0.046875,-0.03515625
1.48,-0.0234375,-0.03515625,-0.0,-0.03515625,0.03515625,0.0234375
1.488,-0.0234375,-0.03515625,-0.0,-0.03515625,0.03515625,0.0234375
1.496,0.0,-0.03515625,-0.0,-0.03515625,0.03515625,0.0234375
1.504,0.0,-0.0234375,-0.0,-0.0234375,0.0,-0.01171875
1.512,0.0,-0.0234375,-0.0,-0.0234375,0.0,-0.01171875
1.52,-0.01171875,0.01171875,-0.03515625,-0.01171875,0.01171875,-0.03515625
1.528,-0.01171875,0.01171875,-0.03515625,-0.01171875,0.01171875,-0.03515625
1.536,-0.01171875,0.01171875,-0.03515625,-0.01171875,0.01171875,-0.03515625
1.543,-0.01171875,0.0,-0.01171875,-0.01171875,0.05859375,0.01171875
1.551,-0.01171875,0.0,-0.01171875,-0.01171875,0.05859375,0.01171875
1.559,-0.0234375,-0.0234375,-0.03515625,-0.0234375,0.01171875,-0.0234375
1.567,-0.0234375,-0.0234375,-0.03515625,-0.0234375,0.01171875,-0.0234375
